norm_region,축제수,다국어가이드수,세계음식점수
서울 도봉구,0.0,17.0,23.0
서울 동대문구,0.0,23.0,35.0
서울 동작구,0.0,20.0,60.0
서울 마포구,0.0,119.0,364.0
서울 서대문구,0.0,42.0,97.0
서울 서초구,0.0,85.0,242.0
서울 성동구,0.0,33.0,96.0
서울 성북구,0.0,47.0,77.0
서울 송파구,0.0,53.0,192.0
서울 양천구,0.0,17.0,49.0
서울 영등포구,0.0,42.0,147.0
서울 용산구,0.0,72.0,419.0
서울 은평구,0.0,24.0,36.0
서울 종로구,0.0,423.0,244.0
서울 중구,0.0,125.0,240.0
서울 중랑구,0.0,8.0,25.0
서울시 null,2.0,0.0,0.0
서울시 강남구,16.0,0.0,0.0
서울시 강동구,2.0,0.0,0.0
서울시 강북구,1.0,0.0,0.0
서울시 강서구,2.0,0.0,0.0
서울시 광진구,8.0,0.0,0.0
서울시 구로구,1.0,0.0,0.0
서울시 노원구,1.0,0.0,0.0
서울시 동작구,2.0,0.0,0.0
서울시 마포구,8.0,0.0,0.0
서울시 서대문구,5.0,0.0,0.0
서울시 서울시청,2.0,0.0,0.0
서울시 서초구,7.0,0.0,0.0
서울시 성동구,4.0,0.0,0.0
서울시 성북구,4.0,0.0,0.0
서울시 송파구,6.0,0.0,0.0
서울시 양천구,1.0,0.0,0.0
서울시 영등포구,9.0,0.0,0.0
서울시 용산구,4.0,0.0,0.0
서울시 종로구,26.0,0.0,0.0
서울시 중구,25.0,0.0,0.0
서울시 중랑구,1.0,0.0,0.0
세종 가름로,0.0,0.0,2.0
세종 갈매로,0.0,3.0,0.0
세종 국립박물관로,0.0,1.0,0.0
세종 국세청로,0.0,1.0,0.0
세종 국책연구원3로,0.0,1.0,0.0
세종 금남면,0.0,4.0,0.0
세종 금송로,0.0,1.0,0.0
세종 나성로,0.0,0.0,3.0
세종 나성북1로,0.0,0.0,1.0
세종 내창1길,0.0,0.0,1.0
세종 내창3길,0.0,0.0,1.0
세종 노을3로,0.0,0.0,1.0
세종 다솜3로,0.0,1.0,0.0
세종 다솜로,0.0,3.0,0.0
세종 달빛로,0.0,0.0,3.0
