시도명,검색건수
서울특별시,70904108
부산광역시,26761595
대구광역시,14814018
인천광역시,36059962
광주광역시,7776765
대전광역시,11686213
울산광역시,7262419
세종특별자치시,3213513
경기도,150494847
충청북도,17066247
충청남도,26034850
전라남도,16512372
경상북도,23603162
경상남도,25231690
제주특별자치도,13447555
강원특별자치도,36042127
전북특별자치도,14451538
